Reference,Target,Method,RMSE,RRMS,Diff_mean,Diff_med,Diff_std,RMSE_band_0,RMSE_band_1,RMSE_band_2,RMSE_band_3,RMSE_band_4,RMSE_band_5,RMSE_band_6,RMSE_band_7,RMSE_band_8,RRMS_band_0,RRMS_band_1,RRMS_band_2,RRMS_band_3,RRMS_band_4,RRMS_band_5,RRMS_band_6,RRMS_band_7,RRMS_band_8,Diff_mean_band_0,Diff_mean_band_1,Diff_mean_band_2,Diff_mean_band_3,Diff_mean_band_4,Diff_mean_band_5,Diff_mean_band_6,Diff_mean_band_7,Diff_mean_band_8,Diff_med_band_0,Diff_med_band_1,Diff_med_band_2,Diff_med_band_3,Diff_med_band_4,Diff_med_band_5,Diff_med_band_6,Diff_med_band_7,Diff_med_band_8,Diff_std_band_0,Diff_std_band_1,Diff_std_band_2,Diff_std_band_3,Diff_std_band_4,Diff_std_band_5,Diff_std_band_6,Diff_std_band_7,Diff_std_band_8,Slope_band_0,Slope_band_1,Slope_band_2,Slope_band_3,Slope_band_4,Slope_band_5,Slope_band_6,Slope_band_7,Slope_band_8,Intercept_band_0,Intercept_band_1,Intercept_band_2,Intercept_band_3,Intercept_band_4,Intercept_band_5,Intercept_band_6,Intercept_band_7,Intercept_band_8,Rsquared_band_0,Rsquared_band_1,Rsquared_band_2,Rsquared_band_3,Rsquared_band_4,Rsquared_band_5,Rsquared_band_6,Rsquared_band_7,Rsquared_band_8
AER,OLI,Deep Neural Network,0.000378194948071,0.09995976230844329,6.624168599955738e-05,2.278713509440422e-06,0.00048514996888116,4.443362362203361e-05,0.00018116615822887512,0.0008624758733514811,0.00042470413708000856,,,,,,0.0063453891492799685,0.01454213382678739,0.040296173897398396,0.39732547860507683,,,,,,-9.976154615287669e-06,1.8954058305098442e-06,-0.000271933909971267,1.5047916349431034e-05,,,,,,-5.934969522058964e-06,2.043088898062706e-06,-1.864373916760087e-05,3.700032539200038e-05,,,,,,4.329923103796318e-05,0.0001811562542570755,0.0008184844045899808,0.00042443748679943383,,,,,,0.995998233997,0.992212343258,0.954362144416,0.981426407708,,,,,,1.30612590409e-05,6.06872661232e-05,0.000169342643059,8.28080461718e-05,,,,,,0.999982116705,0.999754015143,0.997870579088,0.996865804447,,,,,
AER,OLI,Cubic Spline,0.00108161152393,1.6900893296963166,0.0005377289372568221,0.00014092322442272502,0.0013161975020341782,5.4723071252006314e-05,0.00046429381697488386,0.0013472565418803603,0.002460172665617123,,,,,,0.00965132030625894,0.04861448089582233,0.08309880808583482,0.5084350610718203,,,,,,1.8918511978928956e-05,-2.02271501596231e-05,-0.0006535883531428568,-0.0014960187577037372,,,,,,4.5735056436639414e-06,-4.267787617785474e-05,-0.00027695155258480614,-0.0009810092987818917,,,,,,5.1348850345020205e-05,0.00046385300567909117,0.0011781012071445452,0.0019530431181231577,,,,,,0.999914506687,0.984149748188,0.920487199223,0.768643983947,,,,,,1.94081866315e-05,9.97823802157e-05,0.000145573071815,-0.000302393787071,,,,,,0.999963501396,0.998313456477,0.996937571724,0.972428159122,,,,,
AER,VI,Mélin & Sclep (2015),0.000147322772775,0.06049575844956357,-1.5577350671816096e-05,-3.102251469863323e-06,0.00015759014476196133,7.458848846208405e-05,0.00016507748757290462,9.469961354460799e-05,0.0001643636658904179,0.0002378846084036699,,,,,0.039448974933024225,0.01984881651402505,0.008840163612740913,0.025196157225225453,0.16578441613342315,,,,,-2.3528105550214394e-05,-8.165223664796828e-05,-7.528661066361153e-06,2.2440776790858544e-05,0.0001681549798327658,,,,,-1.803692687534083e-05,-6.356977352457737e-05,-2.838097003464955e-07,5.248912946573042e-05,0.0001136388199487409,,,,,7.07804412269125e-05,0.00014346947115594547,9.439987324168374e-05,0.00016282452579989226,0.00016826464177838881,,,,,0.996094534858,0.994750995935,1.00015899508,0.992840543266,1.03232185503,,,,,-4.21735161521e-06,-5.08905049823e-05,-8.76883985111e-06,9.24445202356e-05,7.25841449532e-05,,,,,0.999905428939,0.99973108367,0.999929824445,0.999904862282,0.999749901699,,,,
AER,VI,Spectral Matching,0.00118063469241,0.34277666530556555,-8.345310925506055e-05,-1.219986006617546e-05,0.0011983468430116773,0.0012260364276774683,0.001175310545172754,0.0014436766089775785,0.0007758102830139755,0.001282339597187455,,,,,0.15109857290158585,0.06456633941556462,0.05829386063015966,0.06015430554120779,0.25528358141613994,,,,,0.0002958668046630919,0.00013731907529290766,0.00021602997730951756,-7.603449921589345e-05,-0.00015591586998198181,,,,,6.309989839792252e-05,1.7799902707338333e-05,6.684986874461174e-05,-3.3599790185689926e-05,-3.482999818515964e-05,,,,,0.0011898016091436148,0.0011672611581161618,0.0014274218119680882,0.0007720753783360124,0.0012728255242109299,,,,,1.13508301257,1.10208100542,1.06634812858,1.00532262912,0.907492104697,,,,,-0.00032890578176,-0.000438571467786,-0.000286714636729,-0.000128601599805,0.000147594835992,,,,,0.977624731949,0.985338176039,0.985731399626,0.997286775584,0.961731573867,,,,
AER,VI,Deep Neural Network,0.000119287874238,0.04421765918363505,-1.5093346519279294e-05,-8.557042747270316e-06,0.0001240399433299899,0.00012429282844308125,5.689337302734352e-05,0.00010330246736574488,0.00015073142605313188,0.00016121927629927292,,,,,0.022608504207647574,0.008232998734419562,0.010543089329065175,0.00814445057821572,0.10253769101633493,,,,,8.077510574366897e-05,-1.5289519978978205e-06,2.431644134048838e-05,1.2743143997795414e-06,-2.9370185075094923e-05,,,,,5.304766818881035e-05,9.383074939250946e-07,1.775822602212429e-05,-6.974441930651665e-06,-2.000997483264655e-06,,,,,9.44673884077929e-05,5.6872828281484544e-05,0.00010039975313702598,0.0001507260458311066,0.00015852143405936658,,,,,1.01772663419,0.996360011682,0.998188058303,1.00118777156,0.992055794561,,,,,-5.02484202802e-06,1.95121076485e-05,3.83934899159e-05,-1.03638954183e-05,-4.31120873723e-06,,,,,0.999969540982,0.999962233314,0.999922253253,0.99989690196,0.999375065772,,,,
AER,VI,Cubic Spline,0.000210173273152,0.32436509915409595,-6.48461769937474e-05,2.5693295432267e-06,0.00027513102933573254,6.3634773678945e-05,9.017985842053113e-05,0.00014620726177513925,0.00017039969485161232,0.0005804447770313696,,,,,0.019067927688052683,0.01428857094066123,0.013934832574316408,0.01526698206353993,5.904612623260331,,,,,-1.0060882162477758e-05,3.2086195968125117e-06,1.9534672410863744e-05,-8.051831953498352e-05,0.000392066794658522,,,,,-5.738038206519903e-06,-7.798701424740714e-06,-1.125158104408404e-05,-2.9750826396173977e-05,0.00026885540733325494,,,,,6.283440993025469e-05,9.012275864081163e-05,0.000144896376661338,0.00015017608406395767,0.0004280184198246481,,,,,0.99329167714,0.994646477508,0.998332222591,0.98849934643,1.0686715202,,,,,2.30182460892e-05,3.41285743083e-05,3.24998761512e-05,3.31166658579e-05,0.000204391926628,,,,,0.999942219498,0.999902888377,0.999836025083,0.999964634648,0.997261526021,,,,
MSI,OLI,Mélin & Sclep (2015),0.000493470830314,0.09107588918100874,-2.260434652238438e-05,-2.0570033055010255e-05,0.0005808269878958901,7.931932008574944e-05,0.00032074447378930974,0.0007429708230334231,0.0008308487043472218,,,,,,0.009365246575264467,0.028704429980766447,0.0566508491170613,0.21011860516852784,,,,,,2.1679685275929217e-05,5.7031914846603376e-05,-0.0005059526230434361,0.000517658409010441,,,,,,1.7177849119990197e-05,3.859801222752361e-05,-0.0003142483893975676,0.00023113203951845973,,,,,,7.629905494304783e-05,0.0003156332969686674,0.0005440749829889524,0.0006498764044772175,,,,,,0.998273578224,1.02138854847,0.955270037019,1.13393863835,,,,,,3.15635756214e-05,-0.000103257758913,-6.29878246137e-05,9.63441851118e-05,,,,,,0.999920900663,0.999378686881,0.999652427891,0.99921108216,,,,,
MSI,OLI,Spectral Matching,0.000524083123431,0.06982895695008709,-3.980081146437442e-06,1.0899966582655907e-05,0.0006312177865765989,6.43391348940299e-05,0.0010532424010292135,0.00046319284501879736,0.0005155581127803649,,,,,,0.010006591537858663,0.11759607298475316,0.03418772636973686,0.09058382665157806,,,,,,-6.33671561445226e-06,6.379424303304404e-05,-0.00027952491655014455,0.00023798774054739624,,,,,,-5.449983291327953e-06,-3.195006866008043e-05,-0.00015090033411979675,5.484498979058117e-05,,,,,,6.402632425306365e-05,0.001051308587193489,0.0003693418693728745,0.0004573423066176474,,,,,,1.00258356728,1.0430307703,0.973915142983,1.08081585297,,,,,,-2.12002383097e-05,-0.000258395571081,-2.7110845911e-05,-3.88268205947e-05,,,,,,0.999946568238,0.991480024625,0.999693429238,0.998949163584,,,,,
MSI,OLI,Deep Neural Network,0.000169444807017,0.07350731546807827,2.1953830582788214e-05,-3.3993273973464966e-08,0.00018976267892867327,3.069341529953957e-05,0.00016011280437125565,0.00026370827422210556,0.00022326473417349368,,,,,,0.005261127418086365,0.015090039788418688,0.016100204464526865,0.1091904829348759,,,,,,2.1451132852234878e-06,-3.3961638109758496e-05,-4.590125899994746e-05,-1.009753395919688e-05,,,,,,3.6507844924926758e-06,-1.8825288861989975e-05,-8.343486115336418e-06,6.962582119740546e-06,,,,,,3.061836468987167e-05,0.00015646954125259072,0.0002596827398519963,0.0002230362588306889,,,,,,0.999976972376,0.992309455543,0.987292620957,0.993439420479,,,,,,2.27758644333e-06,2.43730420873e-05,7.40951479328e-05,1.40018013804e-05,,,,,,0.999987021985,0.999823550615,0.999754029851,0.999108119301,,,,,
MSI,OLI,Cubic Spline,0.000625615369057,0.3530374761614311,0.0003210711549810676,1.840067575825167e-05,0.0008273785216659928,4.74919152931516e-05,0.00020351728052362203,0.000590761577022292,0.0016606907033895604,,,,,,0.009155815157602222,0.02618936601316254,0.03819261669146063,2.717250908875501,,,,,,-1.5115669910896658e-05,0.00011499769708384441,-0.0003588504213327729,-0.0010253162257644452,,,,,,-1.6942845230706865e-06,6.0868891292004124e-05,-0.00020412470200983565,-0.0006615299784322997,,,,,,4.502220053880863e-05,0.00016791311186784382,0.000469282021811146,0.0013063767639960022,,,,,,0.99991480409,1.01164472912,0.962305553592,0.823277518458,,,,,,-1.46247991662e-05,2.84050484679e-05,8.8960623357e-06,-0.000196743325711,,,,,,0.999971942193,0.999828451919,0.999693119118,0.991269115533,,,,,
OLCI,MSI,Mélin & Sclep (2015),0.000206487985641,0.03429804710267782,3.444189445011514e-05,1.1854480535837195e-05,0.00022415214918955644,0.00010014700939726736,0.0003298198032577893,0.0002632194100852033,0.00013276571982486494,,,,,,0.01321662262473882,0.036942768632734956,0.01606512532931919,0.05910966442550587,,,,,,-1.8784689859479327e-05,-6.119252709401577e-05,-0.00014208849833447144,8.429813748750594e-05,,,,,,-1.7307886503038772e-05,-5.108011812896907e-05,-7.629586951016232e-05,5.2424113412191095e-05,,,,,,9.836950197139118e-05,0.00032409346992627754,0.00022157462960965848,0.00010256978296141645,,,,,,1.00023075264,0.990430295071,0.984043136264,1.01241490567,,,,,,-2.01271273816e-05,1.62956243346e-05,1.57526712895e-05,4.39873451594e-05,,,,,,0.999867958674,0.999254801624,0.99990825287,0.999842103134,,,,,
OLCI,MSI,Spectral Matching,0.000157870326427,0.021859797741663616,1.5910940419416875e-05,1.2650125427171588e-06,0.00018472799274604768,9.234627463308803e-05,0.00032542248512207594,0.00011795105233528056,9.576149361586542e-05,,,,,,0.011578308159602747,0.022413530283912013,0.009223487170918868,0.0356542299740701,,,,,,-1.08934482341283e-05,-3.364295480423607e-05,-5.7589891184761655e-06,-1.3348371794563718e-05,,,,,,-5.700159817934036e-06,8.020084351301193e-06,9.299837984144688e-06,-6.639995262958109e-06,,,,,,9.170151315629482e-05,0.0003236787742935121,0.00011781037756009027,9.482660243520513e-05,,,,,,0.991091572096,0.980114678459,0.994369471185,0.998500213419,,,,,,4.08591970608e-05,0.000126826303243,4.91681191381e-05,-8.33245209687e-06,,,,,,0.9999256251,0.999415900541,0.999952932317,0.999801919017,,,,,
OLCI,MSI,Deep Neural Network,8.46068416603e-05,0.025002085796159455,-1.3979845334688434e-06,-1.3568205758929253e-07,8.797119517112151e-05,5.49885819417046e-05,9.213833206817903e-05,0.00011965432765145042,7.164612497974712e-05,,,,,,0.008549941240616662,0.009758956316078026,0.013849529904120183,0.04540622345496319,,,,,,-1.926714503497351e-05,-1.6095602404675446e-05,2.2805577827966772e-05,1.8149105017073452e-05,,,,,,-1.1325464583933353e-05,-1.3458775356411934e-06,1.3379671145230532e-05,5.8739096857607365e-06,,,,,,5.1502633141353726e-05,9.072157263290137e-05,0.00011746090603992343,6.930928066140041e-05,,,,,,0.995519764899,0.994729865362,1.0027407323,1.00320150136,,,,,,6.79722486148e-06,2.63394151266e-05,-3.85442782502e-06,7.54199644626e-06,,,,,,0.999973926086,0.999952009898,0.999941010387,0.999898674679,,,,,
OLCI,MSI,Cubic Spline,0.000232302643332,0.040326844150517585,1.0227572042919929e-05,-2.5006373695760694e-06,0.0002591462794200838,7.934705405345358e-05,0.0003926406804459919,0.000273647895563651,0.00018357494326348852,,,,,,0.013137288709854323,0.03816505994298531,0.016817355644486286,0.0763496405374785,,,,,,2.270751850773732e-05,-3.577317406011207e-05,-0.00015131849967577068,0.00012347386705646574,,,,,,4.826650662088537e-06,-5.967571355778591e-05,-8.2301594951924e-05,7.483903899416054e-05,,,,,,7.602843935122207e-05,0.00039100765204629496,0.0002280041280378244,0.00013584536778379766,,,,,,0.998925641007,0.988445216601,0.983329048112,1.02305668179,,,,,,2.89126876869e-05,5.74951127559e-05,1.37401458347e-05,4.95129288004e-05,,,,,,0.999921689214,0.998915471281,0.999907348439,0.999845084029,,,,,
OLCI,OLI,Mélin & Sclep (2015),0.000721923254977,0.14204152594224384,0.00040487821662478577,8.963880203257022e-05,0.0008697447805913105,3.792703158037401e-05,0.0001959359442780139,0.0010816670767495459,0.0015721629672981908,,,,,,0.006522113651471374,0.026394045494919582,0.07351767331654646,0.20762913099541833,,,,,,4.436218010965145e-06,-4.020759699447213e-05,-0.0007056428124676517,-0.0008780986750479843,,,,,,-1.6933879484267323e-06,-5.916427990530055e-05,-0.00041588425236158306,-0.0002982542627839752,,,,,,3.766669210665937e-05,0.00019176611641279876,0.0008197999061579908,0.001304085546512508,,,,,,1.00026628489,0.993279327818,0.933271756731,0.807474793013,,,,,,2.90710549798e-06,1.08120722343e-05,-3.15020111771e-05,-3.77695269996e-06,,,,,,0.999980394163,0.999712729482,0.999275925087,0.997029838234,,,,,
OLCI,OLI,Spectral Matching,0.00018240692065,0.03125532484881741,6.519312591990456e-06,2.4994369596242905e-07,0.0002038148231804371,4.5648570928543605e-05,0.00017613845213681112,0.0003001387493217258,0.00020770191021143107,,,,,,0.006072973186595391,0.01689001574975716,0.022011972723555987,0.06340139780519309,,,,,,-6.741620836692164e-06,-1.215165411849739e-06,-1.830612927733455e-05,1.8566581161394424e-07,,,,,,-4.699977580457926e-06,8.950184565037489e-06,1.6999896615743637e-05,-9.200011845678091e-07,,,,,,4.514801184996031e-05,0.00017613427189644426,0.00029957995866425335,0.00020770184346474707,,,,,,0.995583796024,0.992556967572,0.985034657097,0.997384227836,,,,,,1.86668056739e-05,5.49976576778e-05,0.000122598395744,9.76750554417e-06,,,,,,0.999981619512,0.999766465694,0.999677782713,0.999211133188,,,,,
